[id][cost,state,father_id,action,depth,h,value]
[6899] [128.0,(46,51),6895,E,101,101.0 ,229.0]
[6903] [130.0,(47,51),6899,S,102,100.0 ,230.0]
[7382] [132.0,(48,51),6903,S,103,99.0 ,231.0]
[7856] [133.0,(48,52),7382,E,104,98.0 ,231.0]
[7860] [134.0,(48,53),7856,E,105,97.0 ,231.0]
[7864] [135.0,(48,54),7860,E,106,96.0 ,231.0]
[7868] [136.0,(48,55),7864,E,107,95.0 ,231.0]
[7871] [139.0,(48,56),7868,E,108,94.0 ,233.0]
[8843] [140.0,(49,56),7871,S,109,93.0 ,233.0]
[8859] [141.0,(49,57),8843,E,110,92.0 ,233.0]
[8863] [142.0,(49,58),8859,E,111,91.0 ,233.0]
[8867] [143.0,(49,59),8863,E,112,90.0 ,233.0]
[8871] [145.0,(49,60),8867,E,113,89.0 ,234.0]
[9456] [146.0,(49,61),8871,E,114,88.0 ,234.0]
[9460] [147.0,(49,62),9456,E,115,87.0 ,234.0]
[9464] [148.0,(49,63),9460,E,116,86.0 ,234.0]
[9468] [149.0,(50,63),9464,S,117,85.0 ,234.0]
[9504] [150.0,(51,63),9468,S,118,84.0 ,234.0]
[9533] [151.0,(52,63),9504,S,119,83.0 ,234.0]
[9559] [152.0,(53,63),9533,S,120,82.0 ,234.0]
[9576] [153.0,(53,64),9559,E,121,81.0 ,234.0]
[9579] [154.0,(54,64),9576,S,122,80.0 ,234.0]
[9586] [155.0,(55,64),9579,S,123,79.0 ,234.0]
[9593] [158.0,(56,64),9586,S,124,78.0 ,236.0]
[10758] [159.0,(57,64),9593,S,125,77.0 ,236.0]
[10771] [160.0,(57,65),10758,E,126,76.0 ,236.0]
[10774] [161.0,(57,66),10771,E,127,75.0 ,236.0]
[10778] [162.0,(58,66),10774,S,128,74.0 ,236.0]
[10805] [163.0,(59,66),10778,S,129,73.0 ,236.0]
[10819] [165.0,(60,66),10805,S,130,72.0 ,237.0]
[11588] [166.0,(60,67),10819,E,131,71.0 ,237.0]
[11591] [168.0,(61,67),11588,S,132,70.0 ,238.0]
[12414] [170.0,(62,67),11591,S,133,69.0 ,239.0]
[13136] [171.0,(63,67),12414,S,134,68.0 ,239.0]
[13169] [172.0,(64,67),13136,S,135,67.0 ,239.0]
[13194] [173.0,(64,68),13169,E,136,66.0 ,239.0]
[13198] [174.0,(65,68),13194,S,137,65.0 ,239.0]
[13209] [176.0,(66,68),13198,S,138,64.0 ,240.0]
[14011] [177.0,(66,69),13209,E,139,63.0 ,240.0]
[14014] [178.0,(66,70),14011,E,140,62.0 ,240.0]
[14017] [179.0,(66,71),14014,E,141,61.0 ,240.0]
[14021] [180.0,(66,72),14017,E,142,60.0 ,240.0]
[14026] [181.0,(67,72),14021,S,143,59.0 ,240.0]
[14060] [182.0,(67,73),14026,E,144,58.0 ,240.0]
[14064] [183.0,(68,73),14060,S,145,57.0 ,240.0]
[14095] [184.0,(68,74),14064,E,146,56.0 ,240.0]
[14098] [185.0,(68,75),14095,E,147,55.0 ,240.0]
[14101] [186.0,(68,76),14098,E,148,54.0 ,240.0]
[14104] [187.0,(68,77),14101,E,149,53.0 ,240.0]
[14107] [188.0,(68,78),14104,E,150,52.0 ,240.0]
[14112] [189.0,(69,78),14107,S,151,51.0 ,240.0]
[14139] [190.0,(70,78),14112,S,152,50.0 ,240.0]
[14184] [191.0,(70,79),14139,E,153,49.0 ,240.0]
[14189] [192.0,(71,79),14184,S,154,48.0 ,240.0]
[14212] [193.0,(71,80),14189,E,155,47.0 ,240.0]
[14216] [194.0,(72,80),14212,S,156,46.0 ,240.0]
[14263] [195.0,(72,81),14216,E,157,45.0 ,240.0]
[14267] [196.0,(72,82),14263,E,158,44.0 ,240.0]
[14271] [198.0,(73,82),14267,S,159,43.0 ,241.0]
[14983] [199.0,(73,83),14271,E,160,42.0 ,241.0]
[14987] [200.0,(73,84),14983,E,161,41.0 ,241.0]
[14990] [203.0,(74,84),14987,S,162,40.0 ,243.0]
[16726] [204.0,(74,85),14990,E,163,39.0 ,243.0]
[16730] [205.0,(75,85),16726,S,164,38.0 ,243.0]
[16766] [206.0,(76,85),16730,S,165,37.0 ,243.0]
[16809] [208.0,(77,85),16766,S,166,36.0 ,244.0]
[17540] [209.0,(78,85),16809,S,167,35.0 ,244.0]
[17577] [210.0,(79,85),17540,S,168,34.0 ,244.0]
[17611] [211.0,(80,85),17577,S,169,33.0 ,244.0]
[17640] [213.0,(81,85),17611,S,170,32.0 ,245.0]
[18340] [214.0,(82,85),17640,S,171,31.0 ,245.0]
[18378] [217.0,(83,85),18340,S,172,30.0 ,247.0]
[20036] [218.0,(84,85),18378,S,173,29.0 ,247.0]
[20077] [219.0,(85,85),20036,S,174,28.0 ,247.0]
[20093] [222.0,(85,86),20077,E,175,27.0 ,249.0]
