[id][cost,state,father_id,action,depth,h,value]
[5606] [107.0,(19,42),5446,E,61,40.0 ,61.0]
[5754] [109.0,(20,42),5606,S,62,39.0 ,62.0]
[5894] [110.0,(21,42),5754,S,63,38.0 ,63.0]
[6026] [111.0,(22,42),5894,S,64,37.0 ,64.0]
[6151] [115.0,(22,43),6026,E,65,36.0 ,65.0]
[6277] [116.0,(23,43),6151,S,66,35.0 ,66.0]
[6402] [119.0,(24,43),6277,S,67,34.0 ,67.0]
[6515] [120.0,(25,43),6402,S,68,33.0 ,68.0]
[6621] [121.0,(26,43),6515,S,69,32.0 ,69.0]
[6724] [125.0,(26,44),6621,E,70,31.0 ,70.0]
[6829] [128.0,(27,44),6724,S,71,30.0 ,71.0]
[6938] [131.0,(27,45),6829,E,72,29.0 ,72.0]
[7041] [132.0,(27,46),6938,E,73,28.0 ,73.0]
[7140] [135.0,(28,46),7041,S,74,27.0 ,74.0]
[7235] [136.0,(29,46),7140,S,75,26.0 ,75.0]
[7317] [137.0,(29,47),7235,E,76,25.0 ,76.0]
[7398] [141.0,(30,47),7317,S,77,24.0 ,77.0]
[7481] [142.0,(31,47),7398,S,78,23.0 ,78.0]
[7548] [145.0,(31,48),7481,E,79,22.0 ,79.0]
[7614] [148.0,(31,49),7548,E,80,21.0 ,80.0]
[7694] [149.0,(32,49),7614,S,81,20.0 ,81.0]
[7772] [150.0,(33,49),7694,S,82,19.0 ,82.0]
[7838] [151.0,(34,49),7772,S,83,18.0 ,83.0]
[7897] [155.0,(34,50),7838,E,84,17.0 ,84.0]
[7956] [157.0,(34,51),7897,E,85,16.0 ,85.0]
[8018] [158.0,(35,51),7956,S,86,15.0 ,86.0]
[8076] [159.0,(36,51),8018,S,87,14.0 ,87.0]
[8130] [163.0,(37,51),8076,S,88,13.0 ,88.0]
[8177] [167.0,(37,52),8130,E,89,12.0 ,89.0]
[8217] [170.0,(38,52),8177,S,90,11.0 ,90.0]
[8261] [173.0,(39,52),8217,S,91,10.0 ,91.0]
[8299] [174.0,(40,52),8261,S,92,9.0 ,92.0]
[8336] [177.0,(41,52),8299,S,93,8.0 ,93.0]
[8370] [178.0,(42,52),8336,S,94,7.0 ,94.0]
[8400] [179.0,(43,52),8370,S,95,6.0 ,95.0]
[8427] [181.0,(44,52),8400,S,96,5.0 ,96.0]
[8450] [183.0,(45,52),8427,S,97,4.0 ,97.0]
[8468] [184.0,(46,52),8450,S,98,3.0 ,98.0]
[8483] [186.0,(47,52),8468,S,99,2.0 ,99.0]
[8495] [187.0,(48,52),8483,S,100,1.0 ,100.0]
[8504] [189.0,(49,52),8495,S,101,0.0 ,101.0]
