[id][cost,state,father_id,action,depth,h,value]
[0] [0.0,(0,0),None,None,0,101.0,0.0]
[1] [1.0,(0,1),0,E,1,100.0 ,1.0]
[2] [2.0,(0,2),1,E,2,99.0 ,2.0]
[5] [3.0,(0,3),2,E,3,98.0 ,3.0]
[12] [4.0,(0,4),5,E,4,97.0 ,4.0]
[25] [5.0,(0,5),12,E,5,96.0 ,5.0]
[40] [6.0,(0,6),25,E,6,95.0 ,6.0]
[54] [7.0,(0,7),40,E,7,94.0 ,7.0]
[71] [8.0,(0,8),54,E,8,93.0 ,8.0]
[91] [9.0,(0,9),71,E,9,92.0 ,9.0]
[115] [10.0,(0,10),91,E,10,91.0 ,10.0]
[142] [11.0,(0,11),115,E,11,90.0 ,11.0]
[172] [12.0,(0,12),142,E,12,89.0 ,12.0]
[210] [15.0,(0,13),172,E,13,88.0 ,13.0]
[251] [19.0,(1,13),210,S,14,87.0 ,14.0]
[296] [21.0,(1,14),251,E,15,86.0 ,15.0]
[340] [24.0,(1,15),296,E,16,85.0 ,16.0]
[387] [26.0,(1,16),340,E,17,84.0 ,17.0]
[445] [27.0,(1,17),387,E,18,83.0 ,18.0]
[506] [29.0,(1,18),445,E,19,82.0 ,19.0]
[569] [30.0,(1,19),506,E,20,81.0 ,20.0]
[636] [34.0,(1,20),569,E,21,80.0 ,21.0]
[699] [37.0,(2,20),636,S,22,79.0 ,22.0]
[759] [38.0,(2,21),699,E,23,78.0 ,23.0]
[815] [42.0,(2,22),759,E,24,77.0 ,24.0]
[882] [43.0,(2,23),815,E,25,76.0 ,25.0]
[962] [45.0,(2,24),882,E,26,75.0 ,26.0]
[1042] [49.0,(2,25),962,E,27,74.0 ,27.0]
[1122] [51.0,(2,26),1042,E,28,73.0 ,28.0]
[1208] [53.0,(2,27),1122,E,29,72.0 ,29.0]
[1299] [55.0,(3,27),1208,S,30,71.0 ,30.0]
[1391] [58.0,(3,28),1299,E,31,70.0 ,31.0]
[1487] [59.0,(3,29),1391,E,32,69.0 ,32.0]
[1587] [63.0,(3,30),1487,E,33,68.0 ,33.0]
[1685] [64.0,(3,31),1587,E,34,67.0 ,34.0]
[1785] [66.0,(3,32),1685,E,35,66.0 ,35.0]
[1893] [68.0,(3,33),1785,E,36,65.0 ,36.0]
[2007] [69.0,(3,34),1893,E,37,64.0 ,37.0]
[2117] [70.0,(3,35),2007,E,38,63.0 ,38.0]
[2232] [71.0,(3,36),2117,E,39,62.0 ,39.0]
[2352] [72.0,(4,36),2232,S,40,61.0 ,40.0]
[2467] [73.0,(4,37),2352,E,41,60.0 ,41.0]
[2582] [74.0,(5,37),2467,S,42,59.0 ,42.0]
[2717] [77.0,(5,38),2582,E,43,58.0 ,43.0]
[2861] [80.0,(5,39),2717,E,44,57.0 ,44.0]
[2990] [81.0,(6,39),2861,S,45,56.0 ,45.0]
[3122] [82.0,(6,40),2990,E,46,55.0 ,46.0]
[3269] [83.0,(7,40),3122,S,47,54.0 ,47.0]
[3422] [84.0,(8,40),3269,S,48,53.0 ,48.0]
[3567] [88.0,(9,40),3422,S,49,52.0 ,49.0]
[3713] [89.0,(10,40),3567,S,50,51.0 ,50.0]
[3874] [90.0,(11,40),3713,S,51,50.0 ,51.0]
[4041] [91.0,(12,40),3874,S,52,49.0 ,52.0]
[4202] [92.0,(13,40),4041,S,53,48.0 ,53.0]
[4359] [93.0,(13,41),4202,E,54,47.0 ,54.0]
[4522] [94.0,(14,41),4359,S,55,46.0 ,55.0]
[4702] [96.0,(15,41),4522,S,56,45.0 ,56.0]
[4890] [99.0,(16,41),4702,S,57,44.0 ,57.0]
[5081] [100.0,(17,41),4890,S,58,43.0 ,58.0]
[5270] [103.0,(18,41),5081,S,59,42.0 ,59.0]
[5446] [104.0,(19,41),5270,S,60,41.0 ,60.0]
